Specimen ID,Site,Date,Total Length (cm),Standard Length (cm),Weight (g),Gonadal Weight (g),Catch Method,Column10,Column11,Notes,,Side Notes,,,,,,Extra Notes:
PLN-DGT-079,Dumaguete,6/17/19,17.2,16,31.66,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-080,Dumaguete,6/17/19,21.9,20.4,56.11,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-081,Dumaguete,6/17/19,17.5,16.4,31.58,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-082,Dumaguete,6/17/19,22.9,21.2,56.91,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-083,Dumaguete,6/17/19,21.1,19.4,63.02,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-084,Dumaguete,6/17/19,18.3,17.1,36.39,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-085,Dumaguete,6/17/19,18.5,17.3,41.46,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-086,Dumaguete,6/17/19,14.2,13.3,14.29,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-087,Dumaguete,6/17/19,14.1,13.3,16.56,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-088,Dumaguete,6/17/19,20.2,18.4,47.17,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-088,Dumaguete,6/17/19,0.5,0.4,1,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-088,Dumaguete,6/17/19,32,31.5,100,,Fish Net (SCUBA),,,,,,,,,,,
